page	grid_row	col	col_idx	state	som	hadid02	gt
3	25	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
3	25	Parcel_Area	5	MISMATCH	.٦٤	٦٤	٦٤
3	25	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	--٨	٠٠٨	٠٠٨
3	25	Tax_LP	10	MISMATCH	✓	✓.	✓
3	25	Tax_Mils	11	MISMATCH	--١	٠٠١	٠٠١
3	26	Parcel_Cat_No	4	MISMATCH	X	١٣	١٣
3	26	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	.٢٤	٠٢٤	٠٢٤
3	26	Tax_LP	10	ONLY_hadid02		✓	✓
3	26	Tax_Mils	11	MISMATCH	.٢٢	٠٢٢	٠٢٢
3	27	Serial_No	0	MISMATCH	٢٨	٤	٢٨
3	27	Parcel_Cat_No	4	MISMATCH	١٦	١	١٦
3	27	Parcel_Area	5	MISMATCH	١,١٢٤	١,٢٠٤	١١,٢٠٤
3	27	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	--		..
3	27	Tax_LP	10	ONLY_hadid02		-	-
3	27	Tax_Mils	11	MISMATCH	--	-.	-
3	28	Date	1	MISMATCH	""""	١	""""
3	28	Property_recorded_under_Block_No	2	MISMATCH	٤١٤١	١	٤١٤١
3	28	Property_recorded_under_Parcel_No	3	MISMATCH	٧	٧٠	٧
3	28	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
3	28	Parcel_Area	5	MISMATCH	٢,٠٠٩	٢,٠٩	٢٠,٠٠٩
3	28	Tax_LP	10	ONLY_hadid02		✓	✓
3	29	Serial_No	0	MISMATCH	٣٠	١	٣٠
3	29	Parcel_Area	5	MISMATCH	٤,٥٠٨	٢٠,٠٩	٢٠,٠٠٩
3	29	Tax_LP	10	ONLY_hadid02		-	-
3	29	Tax_Mils	11	MISMATCH	--	-.	-
3	29	Net_Assessment_Mils	18	ONLY_hadid02		..	
3	30	Date	1	MISMATCH	""""	١	""""
3	30	Parcel_Area	5	MISMATCH	١٢,٥٦٨	٢،٨٦	١٢,٥٦٨
3	30	Tax_LP	10	ONLY_hadid02		✓	✓
3	31	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
3	31	Parcel_Area	5	MISMATCH	٣,٠٦١	٦,٥٦٨	٦,٥٦٨
3	31	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	.٥٦	٠٥٦	٠٥٦
3	31	Tax_Mils	11	MISMATCH	.٥٢	٠٥٣	٠٥٣
3	32	Serial_No	0	MISMATCH	٣٣	""""	٣٣
3	32	Parcel_Cat_No	4	MISMATCH	١٦	١	١٦
3	32	Parcel_Area	5	MISMATCH	٣,٠٦١	""""	٦,٥٦٨
3	32	Tax_LP	10	ONLY_hadid02		-	-
3	32	Tax_Mils	11	MISMATCH	--	-	-
4	0	Serial_No	0	ONLY_hadid02		٩	
4	0	Nature_of_Entry	6	ONLY_hadid02		-	
4	0	Reference_to_Register_of_Changes_Volume_No	8	MISMATCH	٢٢٢٢	٢	٢
4	0	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	✓	٢٢	٢٢٢
4	0	Tax_LP	10	ONLY_hadid02		✓ ٥	✓ ٥
4	0	Tax_Mils	11	MISMATCH	٥٤٣٨	٤٦٨	٤٦٨
4	0	Total_Tax_LP	12	MISMATCH	٥	✓	٥
4	0	Total_Tax_Mils	13	MISMATCH	٢٨٥	""""	٢٨٥
4	1	Serial_No	0	MISMATCH	٣٤	ا,ي٩	٣٤
4	1	Date	1	MISMATCH	٩٢٨	٩٣٨	٩٣٨
4	1	Property_recorded_under_Block_No	2	MISMATCH	٤١٤١	٤١٤١٤	٤١٤١
4	1	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
4	1	Nature_of_Entry	6	MISMATCH	في	٤	تع
4	1	Reference_to_Register_of_Changes_Volume_No	8	MISMATCH	✓	-	✓
4	1	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٧٢	٤	٠٧٢
4	1	Tax_LP	10	ONLY_som	✓		✓
4	1	Tax_Mils	11	MISMATCH	٠٧١	""""	٠٧١
4	2	Serial_No	0	MISMATCH	٣٥	"""٥"	٣٥
4	2	Parcel_Area	5	MISMATCH	٨٨٧٢	٨.٨٧٣	٨.٨٧٣
4	2	Nature_of_Entry	6	MISMATCH	""""	"✓"""	""""
4	2	Reference_to_Register_of_Changes_Volume_No	8	MISMATCH	✓	-	✓
4	2	Tax_LP	10	MISMATCH	""""	-	-
4	2	Tax_Mils	11	MISMATCH	"-"""	-	-
4	3	Serial_No	0	MISMATCH	٣٦	١	٣٦
4	3	Property_recorded_under_Parcel_No	3	MISMATCH	١٢	١٣	١٣
4	3	Parcel_Area	5	MISMATCH	٣,٧٧٤	٣	٦،٧٧٤
4	3	Nature_of_Entry	6	MISMATCH	4	""""	""""
4	3	Tax_LP	10	MISMATCH	""""	-	-
4	3	Tax_Mils	11	MISMATCH	"-"""	..	-
4	4	Serial_No	0	MISMATCH	٣٧	✓٧	٣٧
4	4	Parcel_Area	5	MISMATCH	٩,٥٦٢	١	٩،٥٦٢
4	4	New_Serial_No	7	MISMATCH	١٠٢	١٠	١٠٣
4	4	Tax_LP	10	MISMATCH	""""	-	-
4	4	Tax_Mils	11	MISMATCH	"-"""	..	-
4	5	Serial_No	0	MISMATCH	٣٨	.٧	٣٨
4	5	Property_recorded_under_Block_No	2	MISMATCH	""""	٤	""""
4	5	Parcel_Area	5	MISMATCH	١٤,١٨٤	١١٨٤	١٤،١٨٤
4	5	New_Serial_No	7	MISMATCH	١٠٤	١٠	١٠٤
4	5	Reference_to_Register_of_Changes_Serial_No	9	ONLY_hadid02		..	...
4	5	Tax_LP	10	MISMATCH	""""	-	-
4	5	Tax_Mils	11	MISMATCH	"-"""	-	-
4	6	Serial_No	0	MISMATCH	٣٩	٧	٣٩
4	6	Parcel_Area	5	MISMATCH	٨,٩٢٩	١	٨،٩٢٩
4	6	Nature_of_Entry	6	MISMATCH	في	""""	""""
4	6	Reference_to_Register_of_Changes_Volume_No	8	MISMATCH	✓	-	✓
4	6	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	١٠٨	١٠٧	١٠٨
4	6	Tax_LP	10	MISMATCH	✓	✓ -	✓ -
4	7	Property_recorded_under_Block_No	2	MISMATCH	""""	..	""""
4	7	Reference_to_Register_of_Changes_Volume_No	8	MISMATCH	✓	✓٧	✓
4	7	Tax_LP	10	MISMATCH	✓	..	✓
4	8	Serial_No	0	MISMATCH	٤١	٢ ة٩	٤١
4	8	Parcel_Cat_No	4	MISMATCH	١٢	٦	١٢
4	8	Parcel_Area	5	MISMATCH	٢,٣٤٧	٢,٧٠	٢٦،٣٧٠
4	8	Tax_Mils	11	MISMATCH	٢١٦	٣١٦	٣١٦
4	9	Parcel_Area	5	MISMATCH	٠,٠٢١	٠٣١،	٠٣١،
4	9	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٢٢	٠٣٢	٠٣٢
4	9	Tax_LP	10	MISMATCH	✓	✓ -	✓ -
4	9	Tax_Mils	11	MISMATCH	"-"""	-	-
4	10	Property_recorded_under_Parcel_No	3	MISMATCH	٢	٠	٣
4	10	Parcel_Cat_No	4	MISMATCH	٦	١٦	٦
4	10	Parcel_Area	5	MISMATCH	٦,٢٤٥	١٠،٢٥	١٠،٢٢٥
4	10	Reference_to_Register_of_Changes_Serial_No	9	ONLY_hadid02		..	...
4	10	Tax_Mils	11	MISMATCH	٤٥٨	٥	٣٥٨
4	11	Property_recorded_under_Block_No	2	ONLY_hadid02		٤	""""
4	11	Parcel_Area	5	MISMATCH	٣,٢٤٤	٣،٤	٣،٢٤٤
4	11	Tax_LP	10	ONLY_som	✓		✓
4	11	Tax_Mils	11	MISMATCH	١٩٤	١٤	١٤٤
4	12	Serial_No	0	MISMATCH	٤٥	-٩	٤٥
4	12	Date	1	MISMATCH	""""	١	""""
4	12	Property_recorded_under_Block_No	2	MISMATCH	""""	١٦	""""
4	12	Property_recorded_under_Parcel_No	3	MISMATCH	١١	..	١١
4	12	Parcel_Cat_No	4	MISMATCH	٦	✓	٦
4	12	Parcel_Area	5	MISMATCH	١,٩٧٠	٣	١،٩٧٠
4	12	Nature_of_Entry	6	MISMATCH	""""	١	""""
4	12	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٧٠	٠	٠٧٠
4	12	Tax_LP	10	ONLY_som	✓		✓
4	12	Tax_Mils	11	MISMATCH	٠٦٩	٤	٠٦٩
4	13	Property_recorded_under_Parcel_No	3	MISMATCH	١٠٢	١	١٠٤
4	13	Parcel_Area	5	MISMATCH	٣,٤٥٥	٤،٣٥	٤،٣٥٥
4	13	Nature_of_Entry	6	MISMATCH	'	""""	""""
4	13	New_Serial_No	7	MISMATCH	٢٩٥	٢,٥	٢٩٥
4	13	Reference_to_Register_of_Changes_Volume_No	8	MISMATCH	T.D.L.	T.DL	T.D.L 1940
4	13	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	1940	١٠	
4	13	Tax_LP	10	ONLY_hadid02		✓	
4	13	Tax_Mils	11	MISMATCH	٢٥٦	١٥٢	١٥٢
4	14	Property_recorded_under_Block_No	2	MISMATCH	٤١٤٧	✓	٤١٤٧
4	14	Property_recorded_under_Parcel_No	3	MISMATCH	٤٤	٤	٤٤
4	14	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
4	14	Parcel_Area	5	MISMATCH	٨,٨١١	٥٤	٨،٨١١
4	14	Nature_of_Entry	6	MISMATCH	""""	"✓"""	"✓"""
4	14	New_Serial_No	7	MISMATCH	١١٥	١٥	١١٥
4	14	Reference_to_Register_of_Changes_Volume_No	8	MISMATCH	✓	٧	✓
4	14	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٧٢	٠٣٢	٠٧٢
4	14	Tax_LP	10	ONLY_som	✓		✓
4	14	Reference_to_Register_of_Exemptions_Entry_No	14	ONLY_som	1		
4	15	Serial_No	0	MISMATCH	٤٨	✓	٤٨
4	15	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
4	15	Parcel_Area	5	MISMATCH	٢,٠١٢	٢,٠٢	٢،٠١٢
4	15	Nature_of_Entry	6	MISMATCH	""""	٤	"✓"""
4	15	New_Serial_No	7	MISMATCH	١١٦	١٦	١١٦
4	15	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٢٤	٠٢٤	٠٢٤
4	15	Tax_LP	10	ONLY_som	✓		✓
4	15	Tax_Mils	11	MISMATCH	٠١٦	٠	٠١٦
4	16	Date	1	MISMATCH	""""	١	""""
4	16	Property_recorded_under_Block_No	2	MISMATCH	٤١٤٨	✓	٤١٤٨
4	16	Parcel_Cat_No	4	MISMATCH	٦	✓	٦
4	16	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٧٠	٠٧٠	٠٧٠
4	16	Tax_LP	10	ONLY_som	✓		✓
4	17	Serial_No	0	MISMATCH	٥٠	✓ ٩٤	٥٠
4	17	Date	1	MISMATCH	""""	٢	""""
4	17	Parcel_Area	5	MISMATCH	٥,٤٥٠	٤	٥،٣٥٠
4	17	New_Serial_No	7	MISMATCH	١١١	١١	١١١
4	17	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٢١	٢١٠	٢١٠
4	18	Serial_No	0	MISMATCH	٥١	.	٥١
4	18	Parcel_Area	5	MISMATCH	١٣,٥٩٥	١٧،٣٥	١٧،٥٣٥
4	18	New_Serial_No	7	ONLY_hadid02		✓	
4	18	Tax_LP	10	MISMATCH	""""	–	-
4	18	Tax_Mils	11	MISMATCH	"-"""	-.	-
4	19	Serial_No	0	MISMATCH	٥٢	١	٥٢
4	19	Parcel_Area	5	MISMATCH	١,٧٧٨	١٥,٧٨	١،٧٧٨
4	19	New_Serial_No	7	MISMATCH	١١٢	٤٢	١١٢
4	19	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٧٠	٠٧٠	٠٧٠
4	20	Serial_No	0	MISMATCH	٥٣	ت٥٥٣	٥٣
4	20	Property_recorded_under_Parcel_No	3	MISMATCH	٤٧	٤	٤٧
4	20	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
4	20	Parcel_Area	5	MISMATCH	٢,٠٧٧	٢،٠٧	٢،٠٧٧
4	20	Nature_of_Entry	6	MISMATCH	في	""""	""""
4	20	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٢٤	٠٢٤	٠٢٤
4	21	Serial_No	0	MISMATCH	٥٤	٤	٥٤
4	21	Property_recorded_under_Block_No	2	MISMATCH	""""	١	""""
4	21	Property_recorded_under_Parcel_No	3	MISMATCH	٥٥	٥	٥٥
4	21	Parcel_Area	5	MISMATCH	٢,٥١٥	١	٢،٥١٥
4	21	New_Serial_No	7	ONLY_som	١٠٦		١٠٦
4	21	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	١٠٠	٠٠	١٠٥
4	21	Tax_Mils	11	MISMATCH	٠٨٨	٠٨	٠٨٨
4	22	Serial_No	0	MISMATCH	٥٥	ت٥	٥٥
4	22	Property_recorded_under_Block_No	2	MISMATCH	٤١٤٩	١	٤١٤٩
4	22	Parcel_Area	5	MISMATCH	٠٤٧	،٤٧	،٢٤٧
4	22	Nature_of_Entry	6	MISMATCH	في	""""	""""
4	22	Reference_to_Register_of_Changes_Serial_No	9	ONLY_hadid02		..	...
4	22	Tax_LP	10	MISMATCH	""""	-	-
4	22	Tax_Mils	11	MISMATCH	"-"""	-	-
4	22	Reference_to_Register_of_Exemptions_Amount_Mils	16	ONLY_hadid02		..	
4	22	Net_Assessment_LP	17	ONLY_hadid02		١	
4	23	Serial_No	0	MISMATCH	٥٦	٢	٥٦
4	23	Property_recorded_under_Block_No	2	MISMATCH	""""	١	""""
4	23	Property_recorded_under_Parcel_No	3	MISMATCH	٤٠	١	٤٠
4	23	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
4	23	Parcel_Area	5	MISMATCH	٤,٤٠٠	٤،٨٠	٤،٨٠٠
4	23	Nature_of_Entry	6	MISMATCH	""""	"✓"""	"✓"""
4	23	Reference_to_Register_of_Changes_Volume_No	8	ONLY_som	✓		✓
4	23	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٤٠	٠٤٠	٠٤٠
4	24	Serial_No	0	MISMATCH	٥٧	١	٥٧
4	24	Property_recorded_under_Parcel_No	3	MISMATCH	٢٣	١	٢٣
4	24	Parcel_Cat_No	4	MISMATCH	١٢	١	١٣
4	24	Parcel_Area	5	MISMATCH	٢,٤٢٢	""""	٢،٤٣٣
4	24	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٢٤	٠٢٤	٠٢٤
4	25	Serial_No	0	MISMATCH	٥٨	✓	٥٨
4	25	Property_recorded_under_Block_No	2	MISMATCH	""""	١	""""
4	25	Property_recorded_under_Parcel_No	3	MISMATCH	٢٦	٣	٢٦
4	25	Parcel_Cat_No	4	MISMATCH	١٢	١	١٣
4	25	Parcel_Area	5	MISMATCH	١٣,٩٠٨	٦,٦٨	١٦،٩٠٨
4	25	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	١٢٦	١٣٦	١٣٦
4	25	Tax_Mils	11	MISMATCH	١٢٠	١٣٥	١٣٥
4	26	Serial_No	0	MISMATCH	٥٩	٢٤	٥٩
4	26	Property_recorded_under_Parcel_No	3	MISMATCH	٢٧	٢٣	٢٧
4	26	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
4	26	Parcel_Area	5	MISMATCH	٤,٦٨٦	١	٤،٦٨٦
4	26	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٤٠	٠٤٠	٠٤٠
4	27	Serial_No	0	MISMATCH	٦٠	✓	٦٠
4	27	Date	1	MISMATCH	""""	١	""""
4	27	Property_recorded_under_Parcel_No	3	MISMATCH	٢٩	٢	٣٩
4	27	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
4	27	Parcel_Area	5	MISMATCH	٢,٩١٤	١	٢،٩١٤
4	27	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٢٤	٠٢٤	٠٢٤
4	28	Serial_No	0	MISMATCH	٦١	٧	٦١
4	28	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
4	28	Parcel_Area	5	MISMATCH	٣,٤٢٢	٣٢	٣،٤٣٢
4	28	Nature_of_Entry	6	MISMATCH	في	""""	""""
4	28	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٢٢	٠٣٢	٠٣٢
4	29	Serial_No	0	MISMATCH	٦٢	١	٦٢
4	29	Property_recorded_under_Block_No	2	MISMATCH	""""	٤	""""
