idx	page	grid_row	col	col_idx	state	som	hadid02	gt
26	6	4	New_Serial_No	7	ONLY_som	٢٧٢		٣٧٢
27	5	11	Tax_LP	10	ONLY_som	✓		✓
28	4	30	New_Serial_No	7	MISMATCH	٢٩٦	٢٦	٢٩٦
29	4	5	Serial_No	0	MISMATCH	٣٨	.٧	٣٨
30	10	26	Total_Tax_LP	12	ONLY_hadid02		✓	
31	5	23	Nature_of_Entry	6	MISMATCH	تنزيل ١٩٤٥	من تسل ٩	من تسلسل ١٩٤
32	6	2	Parcel_Cat_No	4	ONLY_som	١٤		١٤
33	6	18	Date	1	ONLY_hadid02		٩٤٤٠	
34	3	20	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
35	3	28	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
36	10	25	Tax_LP	10	ONLY_hadid02		.	
37	10	15	Net_Assessment_Mils	18	MISMATCH	١٦٨	٠٤٠	١٦٨
38	4	14	Tax_LP	10	ONLY_som	✓		✓
39	4	8	Parcel_Area	5	MISMATCH	٢,٣٤٧	٢,٧٠	٢٦،٣٧٠
40	10	17	Tax_Mils	11	ONLY_hadid02		..	
41	10	11	Nature_of_Entry	6	ONLY_som	—		
42	6	25	Total_Tax_LP	12	MISMATCH	٣	✓	٣
43	5	16	Total_Tax_LP	12	ONLY_hadid02		٨	٨
44	6	29	Serial_No	0	ONLY_som	١١٥		١١٥
45	6	24	Parcel_Cat_No	4	ONLY_hadid02		٦	٦
46	6	16	Tax_LP	10	ONLY_som	✓		_
47	4	13	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	1940	١٠	
48	4	12	Date	1	MISMATCH	""""	١	""""
49	5	1	Reference_to_Register_of_Exemptions_Amount_Mils	16	MISMATCH	- -	-.	-
50	9	1	Parcel_Area	5	MISMATCH	٢,١٥٠	٤	٣,١٥٠
51	5	23	Reference_to_Register_of_Changes_Volume_No	8	MISMATCH	٢٦	T.D.L٨٥	
52	6	30	Serial_No	0	MISMATCH	١١٦	✓٧	١١٦
53	10	25	Reference_to_Register_of_Exemptions_Entry_No	14	ONLY_hadid02		١	
54	5	30	New_Serial_No	7	MISMATCH	٣٤٠	340	340
55	3	11	Property_recorded_under_Block_No	2	MISMATCH	٤١٢٨	٤١٣٨	٤١٣٨
56	6	4	Tax_Mils	11	MISMATCH	٢٣٢	٤١٣٤	٤٣٢
57	3	18	Tax_LP	10	ONLY_som	✓		✓
58	3	4	Serial_No	0	MISMATCH	٥	١	٥
59	4	21	Parcel_Area	5	MISMATCH	٢,٥١٥	١	٢،٥١٥
60	5	20	Total_Tax_LP	12	MISMATCH	٣	..	x
61	10	23	Total_Tax_Mils	13	ONLY_hadid02		..	
62	5	0	Reference_to_Register_of_Changes_Volume_No	8	ONLY_som	۲		٣
63	10	0	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
64	4	30	Serial_No	0	MISMATCH	٦٣	٤	٦٣
65	5	26	New_Serial_No	7	MISMATCH	T.D.L. 940	T.D.L	T.D.L. 1940
66	6	0	Parcel_Area	5	ONLY_som	٢,١٨٩		٢,٨٨٩
67	10	11	Parcel_Area	5	ONLY_som	—		
68	10	0	Net_Assessment_Mils	18	MISMATCH	٠٢٥	٠٣٠	٠٣٢
69	6	16	Property_recorded_under_Parcel_No	3	MISMATCH	٩	٩٠	٩
70	4	15	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٢٤	٠٢٤	٠٢٤
71	5	28	Net_Assessment_LP	17	ONLY_hadid02		٤	٤
72	5	16	Tax_LP	10	MISMATCH	✓	-	-
73	10	12	Net_Assessment_Mils	18	MISMATCH	١١٢	١٢	١١٢
74	6	4	Property_recorded_under_Block_No	2	MISMATCH	٤١٤٤	٤١٤	٤١٣٤
75	10	7	Reference_to_Register_of_Exemptions_Entry_No	14	ONLY_hadid02		–	
76	6	23	Property_recorded_under_Parcel_No	3	MISMATCH	'	_	
77	4	1	Date	1	MISMATCH	٩٢٨	٩٣٨	٩٣٨
78	4	25	Property_recorded_under_Parcel_No	3	MISMATCH	٢٦	٣	٢٦
79	6	5	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٦٤٤٦/٦٤٤٧	١	,٦٢٤٧
80	5	29	New_Serial_No	7	MISMATCH	٣٣٩	39	339
81	5	4	Parcel_Area	5	MISMATCH	٢٠٥٨	٢,٠٥٨	٢,٠٥٨
82	3	8	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	--	.	...
83	10	24	Tax_Mils	11	ONLY_hadid02		_	
84	6	5	Nature_of_Entry	6	ONLY_som	""""		""""
85	9	0	Tax_LP	10	MISMATCH	–	-	–
86	6	17	Reference_to_Register_of_Changes_Volume_No	8	ONLY_hadid02		٩٤	٤٥/
87	5	5	Tax_Mils	11	MISMATCH	٠٤٢	٠٤٣	٠٤٣
88	4	11	Parcel_Area	5	MISMATCH	٣,٢٤٤	٣،٤	٣،٢٤٤
89	4	14	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٧٢	٠٣٢	٠٧٢
90	3	21	Parcel_Area	5	MISMATCH	٢,٥٥٦	١,٤٥٣	١,٤٥٣
91	3	17	Tax_LP	10	ONLY_hadid02		-	-
92	4	29	Nature_of_Entry	6	MISMATCH	""""	"✓"""	""""
93	4	27	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
94	4	23	Reference_to_Register_of_Changes_Volume_No	8	ONLY_som	✓		✓
95	4	20	Nature_of_Entry	6	MISMATCH	في	""""	""""
96	6	17	Total_Tax_Mils	13	MISMATCH	٨١٩	٨٤٦	٨١٩
97	4	25	Tax_Mils	11	MISMATCH	١٢٠	١٣٥	١٣٥
98	6	30	Tax_LP	10	ONLY_hadid02		_	
99	10	18	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	٠٠٨		
100	6	12	Nature_of_Entry	6	MISMATCH	بيع	Tني	بيع
101	5	34	Property_recorded_under_Parcel_No	3	ONLY_hadid02		"""."	
102	3	25	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	--٨	٠٠٨	٠٠٨
103	6	0	Total_Tax_Mils	13	MISMATCH	٨٧٢	٣٤٠	٨٧٢
104	5	29	Parcel_Area	5	MISMATCH	١٥,٩٧٨	١	١٥٩,٧٧٨
105	3	18	Reference_to_Register_of_Exemptions_Entry_No	14	ONLY_hadid02		١٦	
106	4	29	Tax_LP	10	ONLY_som	✓		✓
107	10	12	Date	1	MISMATCH	٩٤٣/٩٤٤	٤	٩٤٤ / ٩٤٣
108	5	21	Date	1	MISMATCH	٢٢	""""	""""
109	6	2	Nature_of_Entry	6	ONLY_som	""""		""""
110	6	4	Date	1	MISMATCH	٤٥/٤٤	✓	٤٤/٤٥
111	6	16	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	٣٠/٣٥٦١		٣٥٦١
112	4	11	Property_recorded_under_Block_No	2	ONLY_hadid02		٤	""""
113	9	4	Serial_No	0	MISMATCH	٥	✓	٥
114	5	14	Nature_of_Entry	6	MISMATCH	؛	"✓"""	"✓"""
115	3	18	New_Serial_No	7	ONLY_som	تالف ۹۷		انظر ٩٧
116	5	13	Property_recorded_under_Block_No	2	MISMATCH	""""	.	""""
117	5	15	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٠١٦	٠٦٠	١٦
118	3	24	Property_recorded_under_Block_No	2	MISMATCH	٤١٤٠	✓	٤١٤٠
119	5	11	Nature_of_Entry	6	MISMATCH	""""	"✓"""	"✓"""
120	6	32	Date	1	ONLY_hadid02		٩٤،٤٠	
121	3	14	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	.٢٤	٠٢٤	٠٢٤
122	10	19	Parcel_Cat_No	4	ONLY_hadid02		١	
123	5	21	Nature_of_Entry	6	ONLY_som	تنزيل ١٩٤٥		من تسلسل ١٦٧
124	6	1	Serial_No	0	ONLY_som	٩٨		٩٨
125	5	6	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	- -		٠٠٠
126	9	2	Date	1	MISMATCH	″	""""	""""
127	9	2	Nature_of_Entry	6	MISMATCH	″	٤	"✓"""
128	5	16	Serial_No	0	MISMATCH	٨٣	✓٧	٨٣
129	4	3	Serial_No	0	MISMATCH	٣٦	١	٣٦
130	3	16	Serial_No	0	MISMATCH	١٧	""""	١٧
131	6	25	Property_recorded_under_Parcel_No	3	MISMATCH	٧	١	٧
132	5	26	Parcel_Area	5	MISMATCH	٢,١٥٢	٤,٥٣	٤,١٥٣
133	10	11	Parcel_Cat_No	4	ONLY_som	—		
134	9	0	Parcel_Area	5	MISMATCH	٢,٤٨٦	٣٤٨	٣,٤٨٦
135	5	34	Reference_to_Register_of_Changes_Serial_No	9	ONLY_hadid02		""""	
136	4	34	Date	1	MISMATCH	""""	١	""""
137	5	22	Date	1	MISMATCH	؛	""""	""""
138	3	32	Tax_Mils	11	MISMATCH	--	-	-
139	6	22	Tax_Mils	11	MISMATCH	٢١٠	٢٠	٢١٠
140	4	30	Parcel_Area	5	MISMATCH	٢,٣٥٦	٢،٣٦	٢،٣٥٦
141	10	2	New_Serial_No	7	ONLY_som	✓		✓
142	5	13	Date	1	MISMATCH	؛	""""	""""
143	5	9	Tax_Mils	11	MISMATCH	- -	-	-
144	3	3	Tax_LP	10	ONLY_som	✓		✓
145	5	10	Reference_to_Register_of_Exemptions_Amount_Mils	16	ONLY_hadid02		""""	
146	3	20	Tax_Mils	11	MISMATCH	.٠٨	٠٠٨	٠٠٨
147	3	6	Tax_LP	10	ONLY_som	✓		✓
148	10	24	Parcel_Area	5	ONLY_hadid02		.	
149	9	2	Parcel_Area	5	MISMATCH	٨١١	١	٨١١,
150	4	2	Tax_LP	10	MISMATCH	""""	-	-
151	5	8	Parcel_Area	5	MISMATCH	٤٦,٥٦٨	٤,٠٨	٤٦,٠٦٨
152	3	18	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	.٢٤	٠٢٤	٠٢٤
153	6	15	Reference_to_Register_of_Exemptions_Amount_Mils	16	ONLY_hadid02		-	
154	9	5	Tax_Mils	11	MISMATCH	٤٠	١	٠٤٠
155	6	24	Parcel_Area	5	MISMATCH	٦١,٧٧٨	..	١,٧٧٨
156	4	27	Serial_No	0	MISMATCH	٦٠	✓	٦٠
157	6	33	Total_Tax_Mils	13	MISMATCH	٧١٢	١٧	٧١٧
158	10	1	Tax_LP	10	ONLY_hadid02		-	-
159	3	28	Tax_LP	10	ONLY_hadid02		✓	✓
160	3	18	Parcel_Cat_No	4	MISMATCH	١٢	١٣	١٣
161	4	16	Parcel_Cat_No	4	MISMATCH	٦	✓	٦
162	10	18	Parcel_Cat_No	4	ONLY_som	١٢		١٣
163	3	8	Parcel_Area	5	MISMATCH	٢,٤١٤	٣٤	٢,٤١٤
164	6	26	Tax_LP	10	ONLY_hadid02		_	
165	9	17	Parcel_Area	5	ONLY_hadid02		ضرية حرب	ضريبة حرب
166	3	5	Nature_of_Entry	6	MISMATCH	""""	"✓"""	״
167	10	25	Tax_Mils	11	ONLY_hadid02		.	
168	4	9	Parcel_Area	5	MISMATCH	٠,٠٢١	٠٣١،	٠٣١،
169	5	18	Total_Tax_LP	12	ONLY_hadid02		-	٨
170	4	21	New_Serial_No	7	ONLY_som	١٠٦		١٠٦
171	5	16	Total_Tax_Mils	13	MISMATCH	٨٠٠٢	٠٠٢	٠٠٢
172	6	18	Reference_to_Register_of_Exemptions_Amount_Mils	16	ONLY_hadid02		٩٤ / ٤٧	✓
173	6	23	New_Serial_No	7	ONLY_hadid02		""""	""""
174	5	23	New_Serial_No	7	MISMATCH	T.D.L. 940	T.D.L	T.D.L. 1940
175	6	5	New_Serial_No	7	MISMATCH	""""	..	""""
176	6	4	Parcel_Area	5	MISMATCH	١١,٨٦٨	١,٩٨	١١,٨٦٨
177	6	16	Tax_Mils	11	ONLY_som	٢٣٤		٢٣٤
178	10	24	Nature_of_Entry	6	ONLY_hadid02		١	
179	9	4	Property_recorded_under_Block_No	2	MISMATCH	″	✓	""""
180	9	3	Parcel_Area	5	MISMATCH	١٥٠	١٥٠,	١٥٠,
181	6	33	Nature_of_Entry	6	ONLY_hadid02		بيع	بيع
182	6	0	Property_recorded_under_Parcel_No	3	ONLY_som	٢٨		٣٨
183	5	27	Tax_LP	10	ONLY_hadid02		✓	✓
184	6	27	Nature_of_Entry	6	MISMATCH	'	-	""""
185	4	17	Date	1	MISMATCH	""""	٢	""""
186	5	22	Property_recorded_under_Parcel_No	3	MISMATCH	٦٠	..	٦٠
187	3	27	Tax_LP	10	ONLY_hadid02		-	-
188	6	22	Property_recorded_under_Block_No	2	MISMATCH	٤١٤١	١	٤١٤٨
189	4	23	Property_recorded_under_Parcel_No	3	MISMATCH	٤٠	١	٤٠
190	5	30	Property_recorded_under_Block_No	2	MISMATCH	٤١٣٦	١	٤١٤٦
191	5	1	Net_Assessment_Mils	18	MISMATCH	٨٠٠٢	٠٠٢	٠٠٢
192	4	3	Property_recorded_under_Parcel_No	3	MISMATCH	١٢	١٣	١٣
193	6	4	Reference_to_Register_of_Changes_Volume_No	8	ONLY_hadid02		٤٤	٦٢٤٤
194	4	0	Total_Tax_Mils	13	MISMATCH	٢٨٥	""""	٢٨٥
195	3	30	Tax_LP	10	ONLY_hadid02		✓	✓
196	10	3	Nature_of_Entry	6	MISMATCH	ء	..	""""
197	3	22	Serial_No	0	MISMATCH	٢٣	""""	٢٣
198	4	30	Total_Tax_LP	12	ONLY_hadid02		x	x
199	5	34	Date	1	MISMATCH	٩٤٢/٩٤٣	٩٤ ٩٤٣	٤٢/٩٤٢
200	10	5	Tax_LP	10	ONLY_som	ل		-
201	6	2	Property_recorded_under_Parcel_No	3	ONLY_som	٥		٥
202	6	2	Serial_No	0	ONLY_som	٩٩		٩٩
203	6	17	Parcel_Area	5	MISMATCH	٧,١٢٧	٣،,١٧	٣,١٢٧
204	3	27	Parcel_Area	5	MISMATCH	١,١٢٤	١,٢٠٤	١١,٢٠٤
205	6	5	Tax_Mils	11	MISMATCH	٢٤٢	١٢	٣٢٤
206	4	14	Parcel_Area	5	MISMATCH	٨,٨١١	٥٤	٨،٨١١
207	9	20	Net_Assessment_Mils	18	MISMATCH	٢٢٠	اد	١٢٠
208	6	14	Net_Assessment_Mils	18	MISMATCH	٢٥٥	٢٥	٢٥٥
209	5	29	Tax_LP	10	ONLY_hadid02		٢	٢
210	5	15	Property_recorded_under_Block_No	2	MISMATCH	٤١٢٩	٤١٣٩	٤١٣٩
211	6	28	Parcel_Area	5	MISMATCH	٤,١٠٠	,٠	٤,٨٠٠
212	6	24	Property_recorded_under_Parcel_No	3	MISMATCH	٤٦	١	٤٢
213	10	16	Net_Assessment_LP	17	ONLY_som	٨٠		
214	6	22	New_Serial_No	7	ONLY_hadid02		_	
215	6	7	Parcel_Area	5	MISMATCH	٩,٥٦٤	٣,٩٢	٩,٥٦٢
216	3	0	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	٦٢٠	٦٣٠	٦٣٠
217	6	0	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	٢١		٣١
218	6	13	Parcel_Area	5	MISMATCH	٤,٥١٥	٢,٥	٢,٥١٥
219	4	18	Serial_No	0	MISMATCH	٥١	.	٥١
220	5	32	Tax_LP	10	ONLY_hadid02		١	
221	10	16	Serial_No	0	ONLY_som	٢٢٤		
222	4	0	Serial_No	0	ONLY_hadid02		٩	
223	6	10	Net_Assessment_Mils	18	ONLY_som	٧٦٠		٧٦٠
224	5	28	Net_Assessment_Mils	18	MISMATCH	٤٤٦	٤٠	٤٦٠
225	6	0	Reference_to_Register_of_Changes_Volume_No	8	ONLY_som	١		١
226	6	24	Property_recorded_under_Block_No	2	ONLY_hadid02		١	""""
227	6	10	Net_Assessment_LP	17	ONLY_som	١٦		١٦
228	9	3	Property_recorded_under_Parcel_No	3	MISMATCH	٨١	٤	٨١
229	5	2	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	- -	..	٠٠٠
230	5	1	Property_recorded_under_Parcel_No	3	MISMATCH	٢	٣	٣
231	3	11	Reference_to_Register_of_Changes_Serial_No	9	ONLY_som	--		...
232	3	16	Tax_LP	10	ONLY_hadid02		✓ -	✓
233	6	25	Tax_Mils	11	MISMATCH	١٦١	١٦٨	١٦٨
234	3	7	Tax_Mils	11	MISMATCH	.٥٢	٠٥٣	٠٥٣
235	5	16	Reference_to_Register_of_Changes_Serial_No	9	MISMATCH	- -	.٠.	٠٠٠
236	4	31	Tax_LP	10	ONLY_som	✓		✓
237	3	3	Property_recorded_under_Block_No	2	MISMATCH	٤١٢٤	٤١٣٤	٤١٣٤
238	3	30	Date	1	MISMATCH	""""	١	""""
239	9	7	Reference_to_Register_of_Exemptions_Amount_Mils	16	ONLY_hadid02		٠	
